,PPI,PPI_mop1,PPI_mop2,PPI_mop3,PPI_life,CCPI,export,PMI_raw,PPI_expectation,mop_price,HBR_25,South_China,brent,WTI,CRB,LME_AL,cement,coal,copper,indproduct
2017/3/31,-0.2,-0.6,-0.1,-2.4,-0.1,-15.66804782,-2.2,59.3,-0.19,,-1.156006968,-13.42065901,-35.85411021,-45.05808774,-3.342304001,4.088636115,2.88749065,15.86681914,-11.54836919,-16.91577262
2017/4/30,-1.2,-1.9,-1.3,-5.4,0,-9.244680645,2.4,51.8,-0.76,,-22.28317315,-16.32730645,-7.260821564,-6.445465271,-6.038767442,-1.733162138,1.328491678,-2.639078822,-0.4558404,-18.25480689
2017/5/31,-0.9,-1.9,-0.6,-5.6,-0.1,-9.562734232,-1.5,49.5,-1.12,,4.332437133,-0.686877478,-19.0479008,-20.92200353,0.893817007,-0.375456231,-0.86762164,-21.7192929,1.254869724,1.39444199
2017/6/30,0,-1.1,0.8,-4.4,-0.1,-1.591057609,-0.3,50.4,-0.09,,14.56910547,-4.976826709,-11.35152603,-11.34676787,1.509359678,-4.512879199,-0.658091387,-5.891755164,4.519550952,-3.63894736
2017/7/31,0,-0.7,0.4,-2.5,0,4.267047957,-1.1,57.9,0.01,0.663064561,0.523266182,-1.043834647,11.8918913,12.18839449,2.197370274,-1.47769091,0.130923292,2.346137819,-0.05880649,0.901561818
2017/8/31,0.8,1.7,0.6,2.4,0.1,0.142674494,-1.1,65.3,0.22,3.291740567,2.845356491,5.730334276,4.747665615,2.882730262,-0.734526214,7.249932007,-4.32574684,-16.67971562,14.04669129,7.735264548
2017/9/30,0.6,0.9,0.9,-1,0.1,0.035595124,-0.2,68.4,0.56,1.216757803,3.592796448,0.494593124,7.617727533,2.708997813,-0.263005933,7.887588364,-0.413286365,-8.857548276,2.385440354,-0.424791579
2017/10/31,0,-0.3,0.2,-2.5,0.1,-3.344929553,-0.4,63.4,0.14,-0.115351046,-2.887399443,-10.46748566,-5.407541512,-6.659949288,0.005690754,-4.089699432,-3.665678659,-8.37670963,3.897479401,-14.99029181
2017/11/30,-1.1,-1.9,-1.2,-3.9,-0.2,-2.915999131,0.8005,59.8,-0.66,-4.201692364,-9.859764711,-11.63773703,23.29167829,20.32068155,-2.624240854,-6.944178467,1.899899845,-17.5300917,-17.93169134,-16.40721834
2017/12/31,-0.9,-1.6,-0.8,-1.7,-0.1,-6.506157454,-2.6588,62.2,-0.97,-2.666113636,-2.167812334,-3.209488064,-18.7814156,-12.76954587,-2.791902714,-0.142001431,18.81721745,13.43946665,-3.843021467,-3.364335096
2018/1/31,-0.6,-0.8,-0.6,-2.3,-0.2,1.573447787,0.0743,59.7,-0.41,-2.200642163,-10.51334275,0.554292322,6.773984841,9.932288484,0.44693601,3.356448124,0.592186114,12.46078059,2.105154606,0.673213168
2018/2/28,-0.6,-1.4,-0.7,-0.4,0,-1.611893069,-2.416,53.4,-0.69,-2.133542745,-6.016898098,-4.214715216,-8.191904629,-4.627889983,-0.049354572,-6.48758681,-7.912532076,1.584680504,-5.84238692,-5.063502372
2018/3/31,-0.6,-0.8,-0.5,-1.4,-0.1,0.811136773,4.6,53.4,-0.63,-3.129981356,-10.53101012,-0.671159391,10.40036714,10.80804626,0.156841637,-8.843866508,-7.451976483,-26.86383705,-1.419730851,-2.684062733
2018/4/30,0.3,0.6,0.2,1.1,-0.1,2.141982876,-2.5,53,0.4,1.06758867,1.566717628,3.726671941,7.583523739,2.523700323,2.068569542,6.96269421,-2.448181098,-7.667358659,3.602550491,5.433851996
2018/5/31,0.7,1.7,0.5,2,0.2,4.584270539,0.4,56.7,0.45,1.853361035,0.789981144,5.383105396,16.27615999,13.922772,-0.771360458,3.728618349,3.576359082,21.3269391,1.881237077,8.890848624
2018/6/30,0.6,1.4,0.2,3.4,0.1,4.683988018,-0.2,57.7,0.59,0.742779176,-0.676146988,1.915003317,7.641635649,6.153946148,-2.239888767,-0.938754138,1.416804826,10.88360324,-0.051924613,2.532976699
2018/7/31,-0.1,0.2,-0.5,1.9,0.2,-5.548478376,0.6,54.3,-0.13,-2.007906992,-2.263817119,-8.07562806,-6.895095641,1.906394568,-3.322632259,-8.388592345,-0.05445661,-14.85749275,-17.11830521,-9.923768798
2018/8/31,-0.5,-1.2,-0.6,-1.3,0.1,-3.985591799,3.1,58.7,-0.42,-1.938415194,-1.536145605,-2.208779935,-12.60210445,-10.10739642,-2.602347562,-9.349701613,0.112135133,-6.476302144,-11.76094783,-2.548426846
2018/9/30,-0.5,-0.5,-0.6,-0.4,0.1,-0.359493517,2.9,59.8,-0.49,-0.700196719,-0.233302147,0.536112259,-0.405642882,-0.91267944,0.555703082,-4.586829226,-1.58223334,-5.699924419,-1.274378006,0.95796775
2018/10/31,-0.3,-0.6,-0.4,0.7,-0.1,-0.804438531,2.4,58,-0.23,-0.63499227,0.993951629,5.284621136,1.521086445,-3.635816171,1.44022877,-0.918607586,-1.804005785,0.273595552,-0.106418255,5.967225365
2018/11/30,-0.6,-2.1,-0.3,-3.2,0.1,-7.571560419,-1.9,50.3,-0.6,-4.126084644,-4.430727607,-11.05370129,-39.15599658,-37.89971547,-0.490771999,-3.08795091,-1.562627317,2.267317624,-0.82436876,-12.2394848
2018/12/31,-1.8,-3.8,-1.4,-5.4,-0.1,-8.388210078,-2.2,44.8,-1.25,-5.928148095,-13.44263812,-3.099717162,-14.91441343,-14.69909438,-0.573461567,0.178230552,-16.01778094,-7.588762258,-1.735204092,-4.003791046
2019/1/31,-0.8,-2.4,-0.5,-2.6,-0.1,-2.348564512,-2.1,46.3,-1.22,-1.225758363,4.905469366,1.528443232,-1.631952428,-3.40295144,-2.194896615,-9.099380412,-4.494373693,-6.603019444,-5.277084196,1.230681321
2019/2/28,0,0.1,0,0.6,-0.2,3.789978522,6.4,51.9,0.03,0.838099468,1.940196584,5.228049372,12.34570469,7.560721525,-0.420480367,1.762276022,3.555115521,1.308348413,5.894337062,6.816759567
2019/3/31,0.3,0.9,0.1,2.4,0.1,4.019864274,-7.4,53.5,0.23,2.760787882,2.753158822,2.663644097,1.83638783,3.928489165,1.525864013,5.363028055,0.735708119,16.97350086,5.513133461,4.694679049
2019/4/30,0.5,0.6,0.5,1.1,0.4,2.209454835,1.7,53.1,0.17,0.68860167,3.837677255,3.396115365,-0.287823293,4.037826221,1.130540944,-7.180046982,-0.709430887,8.933853614,-0.833902536,3.602800003
2019/5/31,-0.3,-0.6,-0.4,0.8,0,-2.535893507,-0.5,51.8,-0.04,-1.19506865,-2.176759238,-1.823108367,-7.578485218,-9.509803068,-2.961062419,-5.807372657,-4.081305127,-9.623137286,-6.065614627,-3.738837026
2019/6/30,-0.6,-1.5,-0.5,-1.6,0,-4.453012694,1.7,49,-0.45,-2.525652143,-2.925593729,-0.715088121,-6.023197911,-5.856768436,-0.634876458,0.979112556,-1.196723582,-10.96547775,-3.748897873,-1.736140096
2019/7/31,-0.3,-0.8,-0.2,-1.3,-0.1,3.081077192,-1.3,50.7,-0.27,0.255826621,-0.250339814,3.395316419,-0.217853133,0.205831667,0.687844304,6.953314908,-0.690478344,4.676905046,10.46374459,3.982038141
2019/8/31,-0.5,-0.6,-0.6,-0.4,-0.1,1.996447602,-0.8,48.6,-0.75,-2.298889935,-6.167464689,-7.545873287,-4.869425197,-0.4875454,1.457651427,-0.561981484,-0.168314858,3.130954862,-0.564521644,-11.35802061
2019/9/30,-0.4,-1.3,-0.4,-2.2,0.4,-2.946807056,-1,52.2,-0.43,-1.571877672,-2.952883905,2.828760286,-1.466932899,0.31517074,-1.094295507,1.567555772,-0.094298031,-1.690070334,1.008714354,3.426517247
2019/10/31,-0.4,-0.8,-0.3,-2.5,0.3,1.25028154,-0.9,50.4,-0.27,-0.819616713,-1.043409495,-3.867384256,-5.738456266,-4.344909193,0.009066171,-1.703423527,-0.063766749,-4.880209609,-2.927405128,-4.488196953
2019/11/30,0.2,0.6,-0.1,0.5,0.2,7.834099267,0.3,49,0.22,1.677830428,5.605588701,7.046157641,24.83482673,25.40975815,-0.031122614,6.684242757,-2.79579619,-1.670859474,2.032438543,7.118584811
2019/12/31,0.9,2.4,0.7,4,-0.3,8.480468475,-2.8,51.8,1.05,3.882272958,4.567318422,5.257438876,20.87313078,20.7734769,1.963153211,0.64753153,1.792381482,5.017131262,5.182442614,5.613431056
