,import,CPI,CPI_food,CPI_housing,CPI_transcomm,CPI_culture,housing_price,PMI_business,CPI_expectation,hainan,gas93#,gas0#,brent,commodity,pork,beef,vegetables,fruits,egg
2015-03-31,-1.2000000000000028,-0.05530000000000013,-0.03269999999999973,0.05469999999999997,0.16090000000000004,-0.264,-0.2999999999999998,0.532110091743119,0.3700000000000001,-18.592940305096278,0.9390810836844672,-2.376386424833594,-4.730430845862273,1.699680937346157,2.071203551200419,0.7579108326279695,-8.936533578467365,-2.5004525132667035,-16.268017124497884
2015-04-30,-2.299999999999997,0.1333000000000002,0.39849999999999985,-0.018299999999999983,-0.014100000000000001,0.07590000000000008,0.0,-1.086854617290564,0.2799999999999998,-0.21773746084687207,-0.41588135186711445,-0.4782799601269865,3.208321347600352,-0.91039702870953,11.33601437846617,0.3812991617974385,9.721011142178844,-7.5852541683612,-14.720298128108336
2015-05-31,0.0,-0.2783000000000002,-1.133,0.10150000000000003,0.21479999999999988,0.04289999999999994,0.40000000000000036,-1.5893996185966985,-0.33999999999999986,0.13152775987706122,6.30366367646635,4.146188854193972,3.2460457124424593,3.4195688918005134,-1.6545493377614275,-0.3325236848838606,-3.658102317947959,-2.211565551382756,-13.44886815230288
2015-06-30,3.5,0.16010000000000013,0.2559,0.06319999999999992,-0.16159999999999997,0.04700000000000015,0.5999999999999996,1.9623259623259615,0.1399999999999999,1.238811158985549,-3.3386363729897224,-3.367881681352935,-3.3634910182543347,-3.0591887227548824,-0.29682327264817876,-0.020038654047082813,4.061434439970118,-6.609766544219875,1.6538542896813606
2015-07-31,-2.0,0.25639999999999996,0.8729,0.0046000000000000485,-0.30810000000000004,-0.054300000000000015,1.1,1.628312646762831,0.10000000000000009,0.12032379547380606,-7.290529258972799,-3.7563356497880966,-2.2773382127841693,-4.372356654361394,13.319762158170837,0.7788838185576945,-0.6017444960267699,2.639171083961049,-3.864966632117312
2015-08-31,-3.700000000000003,0.30810000000000004,0.9499,-0.01200000000000001,-0.28459999999999996,0.13379999999999992,1.0,-1.284729759062296,0.32000000000000006,-0.2106803253598295,-4.206106930268219,-3.0629667026530236,-6.8849986030002785,0.2141920402504196,3.8909798129791833,-0.6143853978449113,5.720074870636972,6.674317229394953,6.244808476650029
2015-09-30,1.5999999999999943,-0.3598000000000001,-0.9536000000000002,0.015100000000000002,-0.04519999999999991,-0.42700000000000005,1.2000000000000002,0.727124183006536,-0.020000000000000018,-0.32807426227287073,4.318044564992562,4.333375608213717,2.932792904065357,3.051807578927109,-2.9356634614488533,0.28279549823593464,-8.177020223126615,-0.41489754611824425,2.234203538546093
2015-10-31,3.200000000000003,-0.3281999999999998,-0.7820999999999998,-0.17010000000000003,0.2881,-0.2722,0.9,-0.190004130524577,-0.42000000000000015,0.22032564947871525,1.4957342202253727,1.673563164456824,6.630217503536459,0.12222864228983266,-2.0235586422542866,-0.5843980805296031,-8.925796772060824,-2.1856906750898513,-5.112861318295236
2015-11-30,-1.7999999999999972,0.21819999999999995,0.38070000000000004,0.1079,0.44399999999999995,0.08230000000000004,0.6,0.744528970763703,-0.040000000000000036,0.15475262117730265,1.23095697393635,4.149781772977999,0.583098081665641,-3.279160325369796,-1.5856544029489958,1.1688573122204082,8.326629661310648,2.4455089233668885,-0.06831955185526972
2015-12-31,-0.4000000000000057,0.11440000000000006,0.37780000000000014,0.05580000000000007,0.1352,0.1100000000000001,0.5000000000000001,1.111114921518935,0.15000000000000013,0.25998980709221525,3.129041952283888,3.6799726423635093,5.45837543416777,1.3444052328250766,1.5919595183695616,-0.3850145778365299,5.75030463145604,1.6496451012737932,4.768955980110362
2016-01-31,-0.6999999999999886,0.19999999999999996,1.3999999999999995,0.6210999999999999,-0.3276000000000001,0.3881999999999999,0.7,-0.92696812923168,0.3699999999999999,1.1641345962240666,8.929807812690376,9.706496406240882,2.333436221125682,1.6037744830337282,7.782622463438316,-0.09689489618849628,3.100478411051784,-2.1390531141322517,10.770951054819383
2016-02-29,0.0,0.4999999999999998,3.2,-0.09999999999999987,0.0,-0.7999999999999999,0.8,-1.8539056049032108,-0.029999999999999805,-7.960845177983731,-7.757830406137978,-5.4944182297757,-8.19515823117334,2.082579537770946,11.271917474331834,0.6937342718846388,17.409712554629685,-4.624756568500347,0.9329135552446131
2016-03-31,1.5,0.0013910000000003642,0.2999999999999998,0.014399999999999968,-1.0171999999999999,0.2713,1.1,2.412564822780306,0.5699999999999998,-2.059173906009859,-7.864534006980849,-3.1588711947127974,13.018870585043107,6.574761404503051,5.384923610623437,-0.946904243611411,8.260497101543743,-0.4972278606419489,-5.571219515893585
2016-04-30,7.699999999999989,0.026473999999999887,-0.1999999999999993,0.09139999999999993,0.24350000000000005,-0.012399999999999967,0.5999999999999996,0.0010461783106310019,-0.1200000000000001,-0.3510191113860686,0.2666816926585949,1.0244566445096435,1.112567774752681,7.671685701182671,3.601877921920762,-0.6727856509125314,-18.020660016677102,0.2951095115204896,8.201732186102403
2016-05-31,-0.8999999999999915,-0.28886600000000007,-1.5,0.1513,-0.22849999999999993,0.04739999999999989,0.2999999999999998,-0.375235842415026,-0.11999999999999966,-0.4993224096144373,-4.20050997191264,-2.254128346321224,3.0838613461507896,-5.590811331245472,-4.984994999751949,-0.36879040794955353,-12.51943937602179,-2.402698664484375,3.1116919068717257
